post_id,platform,post_type,publish_time,impressions,reach,likes,comments,shares,engagement_rate,saves,3s_views,duration_secs,city,age_group,gender,clicks
02113f4d-3951-49ea-a8e3-e40df93d11ca,Instagram,IG Reel,2024-10-01 00:03:32,8557,6665,513,76,20,7.54,36.0,4035.0,46.0,Kolkata,35-44,Male,
437c2868-063a-4685-93af-80542eea2f00,LinkedIn,LinkedIn Video,2024-10-01 00:13:46,9388,9253,165,29,16,2.24,,,43.0,Kolkata,25-34,Female,761.0
e81a7dff-e7fe-4726-a18c-df5e115db82d,LinkedIn,LinkedIn Post,2024-10-01 00:16:47,1242,542,84,6,3,7.49,,,,Pune,55+,Male,14.0
0dd9e0ab-73e6-4fb9-bc16-a151f624f67a,Instagram,IG Carousel,2024-10-01 00:42:15,2821,1315,263,40,3,11.17,9.0,,,Bangalore,45-54,Female,
ad5cbd26-f00b-48dc-b1d0-4848177cb0ee,LinkedIn,LinkedIn Post,2024-10-01 01:19:00,6512,5859,977,5,50,15.85,,,,Chennai,55+,Male,446.0
863f08d8-8b6e-4824-9e07-3257f4128514,Instagram,IG Reel,2024-10-01 01:21:47,6635,2663,97,6,5,1.75,8.0,2026.0,18.0,Mumbai,45-54,Male,
bf5c46be-4c4d-424c-b2c2-11df08c1ff6e,Instagram,IG Carousel,2024-10-01 01:41:39,3974,3564,220,31,3,6.44,2.0,,,Delhi,35-44,Female,
9a896615-1a09-4218-b34a-c186973929a0,Instagram,IG Carousel,2024-10-01 01:49:20,2892,1180,134,17,12,6.15,15.0,,,Ahmedabad,45-54,Female,
84b3b99d-6441-4220-9d02-9d37a5467ba9,LinkedIn,LinkedIn Post,2024-10-01 01:50:46,7735,6246,749,81,59,11.49,,,,Hyderabad,55+,Male,479.0
4e96c302-0486-4cde-a61f-3266d333d7c0,LinkedIn,LinkedIn Video,2024-10-01 02:02:01,8355,6603,589,54,5,7.76,,,218.0,Bangalore,45-54,Male,21.0
2f270e1c-2020-49d6-aef2-fe02e1bf6b73,Instagram,IG Reel,2024-10-01 02:03:40,7319,3295,659,69,35,11.04,45.0,2949.0,54.0,Bangalore,18-24,Female,
6904490a-1354-4d12-92c0-fcf4846b6793,Instagram,IG Reel,2024-10-01 02:21:04,4384,2698,382,19,23,9.67,0.0,2184.0,21.0,Mumbai,25-34,Female,
f37a9446-50d2-491a-9df5-6ee82f3ee390,LinkedIn,LinkedIn Article,2024-10-01 02:38:14,9635,9187,416,27,19,4.8,,,,Kolkata,55+,Female,879.0
4a5d8eb0-6c34-46f9-9d8a-deabae31b553,Instagram,IG Carousel,2024-10-01 02:45:00,6383,2615,85,1,6,1.55,7.0,,,Bangalore,55+,Female,
1bc8082b-7668-41ba-abed-d91747e0d62b,Instagram,IG Carousel,2024-10-01 03:15:06,4038,1959,250,14,15,7.8,36.0,,,Hyderabad,45-54,Male,
d352d2e0-12bb-4a92-b240-fe0888b4b382,LinkedIn,LinkedIn Article,2024-10-01 03:23:47,6303,5230,205,38,6,3.95,,,,Chennai,25-34,Male,128.0
890bcb03-da89-4eb7-a1b7-d0bf28c0ede5,LinkedIn,LinkedIn Post,2024-10-01 03:35:13,7345,4111,598,13,24,8.65,,,,Bangalore,25-34,Male,109.0
dc2f74c4-9d5b-48d6-b6d3-53f27c2b9c44,Instagram,IG Post,2024-10-01 03:56:21,2854,2430,115,10,9,5.29,17.0,,,Pune,45-54,Female,
7f75659c-bc78-4fc6-8da4-d3e8ff474e8c,LinkedIn,LinkedIn Article,2024-10-01 04:00:07,9798,7311,867,90,16,9.93,,,,Delhi,18-24,Male,623.0
bd718b92-91b7-4e53-82ae-b17c38a724e4,Instagram,IG Post,2024-10-01 05:17:29,9747,5442,638,114,63,8.37,1.0,,,Ahmedabad,45-54,Female,
2cb5684e-faa1-4e1b-bf83-b8798a618b0b,LinkedIn,LinkedIn Article,2024-10-01 05:26:59,4386,2960,221,2,20,5.54,,,,Ahmedabad,55+,Female,250.0
bdf909d1-4b73-4da5-bb00-a785f4eb3dfe,LinkedIn,LinkedIn Post,2024-10-01 05:28:40,6048,2913,324,31,22,6.23,,,,Mumbai,18-24,Female,210.0
dc7959e7-d76f-4c1c-a1a1-e07118dd9b0e,LinkedIn,LinkedIn Article,2024-10-01 05:31:10,7105,4684,287,12,10,4.35,,,,Delhi,35-44,Male,280.0
3e4ab914-b9ac-4873-a765-2e13894654b7,Instagram,IG Post,2024-10-01 05:59:26,4336,3479,232,14,13,6.53,24.0,,,Mumbai,55+,Female,
0ad7d696-dbf7-4f72-b50d-24354d10d2fa,LinkedIn,LinkedIn Post,2024-10-01 06:07:18,8771,4555,421,53,36,5.81,,,,Delhi,55+,Female,225.0
e88e7641-194f-4137-a774-aad66e721fac,Instagram,IG Reel,2024-10-01 06:09:57,7153,3961,587,79,47,10.99,73.0,2363.0,23.0,Kolkata,45-54,Male,
bcda7bcc-f8a9-4ebe-acda-5f5e721de612,Instagram,IG Post,2024-10-01 06:21:54,2149,898,177,9,13,10.05,17.0,,,Mumbai,45-54,Male,
ada9b7bf-eda7-4bd4-90e1-a1c499f128fb,Instagram,IG Reel,2024-10-01 07:16:50,4099,1673,158,22,15,4.78,1.0,919.0,32.0,Ahmedabad,55+,Male,
3dab8443-ea56-4288-a111-ca9da7590759,Instagram,IG Carousel,2024-10-01 07:57:21,5669,5648,793,93,3,16.76,61.0,,,Bangalore,45-54,Female,
8f7fa8ac-b6c9-48f2-abe7-2eb9942fc070,Instagram,IG Reel,2024-10-01 08:25:16,9750,4466,221,20,11,2.78,19.0,3856.0,19.0,Chennai,35-44,Female,
c5d1a6ac-e55a-49df-a251-f8d5d9810b58,LinkedIn,LinkedIn Post,2024-10-01 08:26:14,3300,3107,563,8,8,17.55,,,,Hyderabad,18-24,Female,44.0
d7483043-78e4-48e0-8ede-6d8c7b54a446,Instagram,IG Carousel,2024-10-01 08:30:21,6873,5926,1178,227,112,22.78,49.0,,,Delhi,45-54,Female,
30a40863-48d3-4970-ac1c-015c73151e92,Instagram,IG Reel,2024-10-01 08:44:12,6329,6201,315,27,15,5.83,12.0,6004.0,58.0,Pune,35-44,Male,
33745874-25ac-4815-900d-ae13cb01e522,LinkedIn,LinkedIn Article,2024-10-01 08:49:26,3790,2645,156,14,10,4.75,,,,Mumbai,35-44,Male,136.0
ae6e5a04-7563-4e47-a91c-acf254074cd5,LinkedIn,LinkedIn Post,2024-10-01 09:17:24,1429,672,77,12,0,6.23,,,,Chennai,45-54,Male,2.0
a0bedaac-d91e-40dc-befd-df03cf5a0c3a,LinkedIn,LinkedIn Video,2024-10-01 09:46:00,7914,5568,732,130,65,11.71,,,118.0,Chennai,18-24,Female,265.0
00a2e488-d147-4fed-9e50-202454291303,LinkedIn,LinkedIn Article,2024-10-01 09:47:13,9170,8478,1136,86,3,13.36,,,,Ahmedabad,18-24,Female,43.0
92b40f63-8dd9-4912-b79d-51fc9545b24e,LinkedIn,LinkedIn Video,2024-10-01 09:48:44,8398,6388,1211,169,11,16.56,,,126.0,Chennai,45-54,Male,446.0
075960fe-e374-42b1-80b3-f03164a95579,LinkedIn,LinkedIn Article,2024-10-01 10:15:35,8384,7262,233,2,21,3.05,,,,Ahmedabad,18-24,Male,127.0
79e03731-8486-4fbd-af6a-209122550be3,LinkedIn,LinkedIn Post,2024-10-01 10:21:03,2856,2629,441,14,3,16.04,,,,Chennai,18-24,Female,229.0
6473f42a-1b38-4f45-96a4-33f6bf42e59d,LinkedIn,LinkedIn Video,2024-10-01 11:01:42,4579,2197,157,11,2,3.71,,,283.0,Chennai,55+,Female,218.0
93af61ad-a886-4904-ad45-8ce41e8e665b,Instagram,IG Post,2024-10-01 11:16:08,7661,4356,673,44,6,10.06,48.0,,,Kolkata,25-34,Male,
9b966dbb-0383-4881-9af8-b2d58bf41e64,Instagram,IG Post,2024-10-01 12:00:30,6777,3715,453,88,45,9.34,47.0,,,Pune,25-34,Female,
386e7651-b8bf-4126-b6d4-267f7fe28f96,Instagram,IG Reel,2024-10-01 12:08:08,4965,2002,364,12,7,7.73,1.0,1138.0,54.0,Kolkata,45-54,Female,
b616215d-9a61-4599-8c29-5441c02d492b,Instagram,IG Carousel,2024-10-01 12:10:08,7203,5728,517,70,32,8.68,6.0,,,Mumbai,35-44,Male,
53c9677f-e1e1-4f93-b6c7-a26ec5f3ac68,Instagram,IG Post,2024-10-01 12:21:54,4190,2827,462,33,31,12.84,12.0,,,Ahmedabad,55+,Male,
7194a60b-42ce-4953-9c7e-8617573e3bae,Instagram,IG Reel,2024-10-01 12:33:05,1376,869,74,11,1,6.25,0.0,452.0,35.0,Hyderabad,55+,Male,
cd64ea3d-cfd5-43b8-a61c-2824829e3cec,Instagram,IG Reel,2024-10-01 13:00:54,5962,2567,420,66,34,9.63,54.0,1626.0,23.0,Hyderabad,25-34,Male,
1943d83a-b7de-45be-be8b-69e07f36b75a,Instagram,IG Carousel,2024-10-01 13:34:46,1573,716,119,17,10,10.3,16.0,,,Kolkata,25-34,Female,
4f21f386-140a-4202-b340-59f1434323e4,Instagram,IG Reel,2024-10-01 13:42:24,7878,7703,1514,24,81,22.05,118.0,5032.0,56.0,Chennai,45-54,Female,
d2b2ff44-3e46-4916-94d2-9ecdfd00eac6,Instagram,IG Post,2024-10-01 14:19:09,5697,5476,129,9,3,2.65,10.0,,,Chennai,25-34,Male,
e44a022c-b773-4b00-abae-9accb7159912,Instagram,IG Post,2024-10-01 14:34:09,4089,2929,245,33,20,7.56,11.0,,,Chennai,25-34,Male,
7d136cdb-1d4f-4a57-822a-9ec3d958a490,Instagram,IG Post,2024-10-01 15:05:44,1137,877,135,20,12,16.01,15.0,,,Chennai,35-44,Male,
4e4985e2-f945-4b70-a6c2-e484eb0a8ec9,Instagram,IG Carousel,2024-10-01 15:25:31,7632,3663,537,64,7,8.96,76.0,,,Pune,35-44,Female,
9d46bed6-b5ef-4b74-b2e7-d3c95d0f0b91,LinkedIn,LinkedIn Video,2024-10-01 16:26:31,8734,5354,307,53,23,4.39,,,206.0,Hyderabad,55+,Male,394.0
64a1b318-dff4-49df-b6f1-2dccb64a020e,Instagram,IG Post,2024-10-01 16:42:37,2349,2020,285,47,12,16.05,33.0,,,Ahmedabad,45-54,Male,
e404edaf-7b54-4637-8a61-dc4ed1e7ef0b,Instagram,IG Reel,2024-10-01 16:46:29,7527,3788,468,37,7,7.19,29.0,3040.0,34.0,Mumbai,35-44,Female,
c0b4c6d3-5173-42f6-95d7-43805e7888c9,Instagram,IG Post,2024-10-01 17:14:06,1992,1365,70,9,3,4.27,3.0,,,Bangalore,18-24,Male,
c4e2e357-70ec-4d9a-8d2e-0458004952d9,LinkedIn,LinkedIn Video,2024-10-01 17:39:25,7399,5307,360,11,24,5.34,,,153.0,Delhi,45-54,Male,120.0
baa42ae5-25eb-4e6e-b82a-47c85c506368,LinkedIn,LinkedIn Article,2024-10-01 17:46:14,5168,3761,616,71,14,13.56,,,,Ahmedabad,45-54,Male,241.0
fe446ab8-0487-4c3c-aed0-6cd78a521bae,LinkedIn,LinkedIn Post,2024-10-01 17:55:31,2626,2234,145,2,7,5.86,,,,Mumbai,18-24,Female,192.0
6c89e904-1e98-49d6-938a-584036daaa5c,Instagram,IG Post,2024-10-01 18:24:17,9258,9219,297,18,18,3.94,32.0,,,Mumbai,35-44,Male,
1bcb6a3d-be9a-4806-a791-d4c26e5e0f3f,Instagram,IG Post,2024-10-01 18:26:45,8171,4479,740,106,72,11.69,37.0,,,Chennai,55+,Female,
3a9cf1c1-d0e7-46af-b0d4-56aeb976c4cd,Instagram,IG Post,2024-10-01 18:31:20,2794,2772,313,45,15,14.85,42.0,,,Hyderabad,18-24,Female,
a50b9abb-62e9-4378-9d2f-07b45708ea22,LinkedIn,LinkedIn Video,2024-10-01 18:34:22,8136,5382,1007,105,37,14.12,,,212.0,Delhi,35-44,Male,89.0
3d21644a-7d72-4f58-af06-453333149133,Instagram,IG Reel,2024-10-01 18:35:45,8145,5287,233,38,15,3.56,4.0,3317.0,37.0,Pune,35-44,Male,
0212449f-5940-4c3f-94e2-492e644a8df6,LinkedIn,LinkedIn Post,2024-10-01 18:38:26,5275,2618,320,27,32,7.18,,,,Chennai,25-34,Female,113.0
a2c3f6da-4b9c-4366-ab1e-eda325c66dcd,Instagram,IG Post,2024-10-01 18:40:27,5514,4008,683,44,23,14.31,39.0,,,Pune,45-54,Female,
6e97f69c-93e3-4f5f-8711-09794dd21485,LinkedIn,LinkedIn Video,2024-10-01 19:08:48,3029,2087,376,46,24,14.72,,,83.0,Chennai,55+,Male,56.0
bdb6d394-9d0c-417f-a88a-7e085ff200fb,LinkedIn,LinkedIn Article,2024-10-01 19:13:13,1053,919,61,6,4,6.74,,,,Pune,55+,Female,61.0
af31d24d-eb4d-42c0-9d4b-94083410f473,LinkedIn,LinkedIn Post,2024-10-01 19:14:31,9016,6955,484,94,47,6.93,,,,Mumbai,25-34,Female,344.0
5c4da419-5862-45a8-ac6f-6cbf996dcbb0,LinkedIn,LinkedIn Video,2024-10-01 19:29:20,2234,2035,397,59,4,20.59,,,45.0,Kolkata,55+,Female,143.0
3f698dfc-29f7-48e6-8def-7b6f0b085f05,LinkedIn,LinkedIn Post,2024-10-01 19:31:57,8801,6663,1022,99,69,13.52,,,,Bangalore,35-44,Male,216.0
648de76c-520f-483e-8210-d42fa6143ca8,LinkedIn,LinkedIn Article,2024-10-01 19:32:37,5676,4832,921,37,75,18.2,,,,Pune,35-44,Male,362.0
1925b071-4082-462a-8892-5a20eaafbe9a,LinkedIn,LinkedIn Article,2024-10-01 19:37:23,1349,912,153,14,1,12.45,,,,Bangalore,45-54,Male,57.0
a38f0d8e-56af-4600-ae25-cfcd7b0d6a69,LinkedIn,LinkedIn Article,2024-10-01 20:13:09,4747,2602,259,8,23,6.11,,,,Bangalore,55+,Female,38.0
c77814bc-aa00-44b4-95be-ade4033d37f0,LinkedIn,LinkedIn Video,2024-10-01 20:18:51,6467,5821,418,50,36,7.79,,,69.0,Bangalore,35-44,Female,235.0
9f192502-ef01-4387-85f8-adae902e4624,LinkedIn,LinkedIn Post,2024-10-01 20:39:53,6767,4246,527,104,33,9.81,,,,Bangalore,25-34,Female,382.0
58c01521-e331-408f-9993-563405f1067d,Instagram,IG Reel,2024-10-01 20:51:58,8862,7619,100,1,8,1.33,9.0,6179.0,17.0,Mumbai,35-44,Female,
98787df7-9aa7-4d53-b977-03c1471f1213,Instagram,IG Reel,2024-10-01 21:00:36,5791,2481,315,20,27,6.67,24.0,1741.0,27.0,Hyderabad,45-54,Female,
9fb8b36c-42fa-48bf-83c8-a9049755d290,LinkedIn,LinkedIn Article,2024-10-01 21:10:56,7792,6353,128,18,1,1.89,,,,Hyderabad,45-54,Female,186.0
2c5f6c67-1d35-40c5-8eea-b962582391ad,Instagram,IG Reel,2024-10-01 21:25:19,7078,6952,284,38,10,5.02,23.0,6000.0,15.0,Mumbai,55+,Female,
ba6dda67-13bd-4f21-9641-95789a1dd824,Instagram,IG Post,2024-10-01 21:27:44,8170,6074,538,65,10,8.07,46.0,,,Delhi,35-44,Female,
741376f3-15e0-4031-99ca-02b013dfc36b,LinkedIn,LinkedIn Video,2024-10-01 21:50:56,7098,6024,1047,78,94,17.17,,,80.0,Kolkata,35-44,Female,281.0
ee6dc9d7-5458-4877-86a2-5aeb95ce3a7a,Instagram,IG Reel,2024-10-01 21:54:32,8374,4625,508,78,37,7.74,25.0,4375.0,29.0,Hyderabad,55+,Female,
e9f90e6b-0f8b-4158-a142-13d6f1003d23,Instagram,IG Reel,2024-10-01 21:56:35,9697,6731,1320,204,20,17.72,174.0,4067.0,38.0,Pune,45-54,Female,
3de20759-a555-4c61-a792-7aadcfc9bd76,Instagram,IG Post,2024-10-01 22:04:07,5312,3374,428,66,35,10.99,55.0,,,Kolkata,35-44,Male,
e5b0204b-3d70-4832-9ca4-4c642543fb63,LinkedIn,LinkedIn Post,2024-10-01 22:11:32,1737,1540,248,7,7,15.08,,,,Mumbai,55+,Female,96.0
b94757d2-ea2e-452d-a3a4-34765d81d0d1,LinkedIn,LinkedIn Article,2024-10-01 22:14:37,7826,7193,1261,1,13,16.29,,,,Pune,35-44,Female,482.0
daf0e3bc-cc2a-48a4-ae4a-72d599da1121,LinkedIn,LinkedIn Post,2024-10-01 22:16:01,3391,1741,208,37,16,7.7,,,,Bangalore,55+,Female,12.0
c85a9af7-0845-4fc9-b4fe-2cd9d21bc3b3,Instagram,IG Reel,2024-10-01 22:23:00,6402,6206,91,17,6,1.78,0.0,4377.0,36.0,Ahmedabad,55+,Female,
88e55c7e-b3cf-4f4b-a7d6-18243deb6b35,Instagram,IG Post,2024-10-01 22:24:43,6415,5160,308,58,10,6.03,11.0,,,Pune,55+,Female,
fd487e7d-9cf9-4960-b377-b4e22248a550,Instagram,IG Reel,2024-10-01 22:26:06,2603,2208,409,68,9,18.9,6.0,1741.0,52.0,Kolkata,25-34,Female,
6d64b945-b0f3-4b9e-b3bf-e1e53c679c14,Instagram,IG Post,2024-10-01 22:42:29,6310,5928,1046,202,45,21.16,42.0,,,Mumbai,35-44,Female,
7b51e126-4995-4f0e-82fa-5b82973ddb33,Instagram,IG Reel,2024-10-01 22:51:39,9539,7171,1260,202,118,18.37,172.0,5764.0,49.0,Chennai,25-34,Female,
e42819d0-4650-42b8-beb6-3c3712d6d9d8,Instagram,IG Post,2024-10-01 23:00:43,1348,1070,152,26,11,14.32,4.0,,,Mumbai,35-44,Male,
d62a12a4-55d2-4762-86f7-47ffc4ddc6d7,LinkedIn,LinkedIn Post,2024-10-01 23:21:46,6191,5022,379,38,1,6.75,,,,Bangalore,55+,Male,39.0
472414f4-1b26-490e-bcdc-851c5e75f29f,Instagram,IG Carousel,2024-10-01 23:28:58,4251,3169,537,70,21,16.16,59.0,,,Chennai,25-34,Female,
05f4c8c5-a05c-4a42-9176-0db31fa385c8,LinkedIn,LinkedIn Article,2024-10-01 23:54:55,6710,2686,266,38,5,4.61,,,,Ahmedabad,45-54,Female,26.0
33a31703-4a31-43d4-863b-5b2fe5dbc893,LinkedIn,LinkedIn Video,2024-10-01 23:59:49,9675,5457,831,2,47,9.1,,,92.0,Pune,45-54,Male,194.0
